match_id,match,liga,selection,data_status,sample_status,prior_status,shrinkage_applied,p_model,p_market,delta_model_market_pp,p_scoreline,p_strength,p_market_component,p_scoreline_raw,p_strength_raw,n_current_home,n_current_away,n_prior_home,n_prior_away,weight_current,weight_prior,haircut_total,p_adj,scoreline_strength_gap,model_top1,market_top1,scoreline_top1,strength_top1,scoreline_raw_top1,strength_raw_top1,pdraw_model,pdraw_market,lambda_home_scoreline,lambda_away_scoreline,lambda_home_scoreline_raw,lambda_away_scoreline_raw
8553047,Avispa Fukuoka vs Sanfrecce Hiroshima,Japan J1 League,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7553602512,0.7534327477,0.1927503503,0.7569246752,0.7541589066,0.7534327477,0.7626266322,0.7784870778,4,3,70,70,0.05405405405,0.9459459459,0.045,0.7103602512,0.07602460756,0.3849517964,0.5315222206,0.4452492999,0.3849342143,0.4611926924,0.5469043721,0.2446397488,0.2465672523,1.617566179,1.31581729,1.330833333,1.6975
8553172,Kawasaki Frontale vs Kashima Antlers,Japan J1 League,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6517628669,0.6038602509,4.790261597,0.6900182951,0.6231546263,0.6038602509,0.6334649787,0.6239382883,3,4,70,70,0.04109589041,0.9589041096,0.045,0.6067628669,0.07147315095,0.4101325611,0.3961397491,0.4493132464,0.3778400954,0.425903028,0.3957813748,0.2416303058,0.2397965948,1.647558775,1.330562755,2.0575,1.904166667
8553172,Kawasaki Frontale vs Kashima Antlers,Japan J1 League,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5898674389,0.6359363439,-4.6068905,0.5506867536,0.6221599046,0.6359363439,0.574096972,0.6042186252,3,4,70,70,0.04109589041,0.9589041096,0.045,0.5448674389,0.07147315095,0.4101325611,0.3961397491,0.4493132464,0.3778400954,0.425903028,0.3957813748,0.2416303058,0.2397965948,1.647558775,1.330562755,2.0575,1.904166667
8553172,Kawasaki Frontale vs Kashima Antlers,Japan J1 League,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7583696942,0.7602034052,-0.1833710976,0.7592949513,0.7546854691,0.7602034052,0.7924380493,0.7718430865,3,4,70,70,0.04109589041,0.9589041096,0.045,0.7133696942,0.07147315095,0.4101325611,0.3961397491,0.4493132464,0.3778400954,0.425903028,0.3957813748,0.2416303058,0.2397965948,1.647558775,1.330562755,2.0575,1.904166667
8553053,Urawa Reds vs Tokyo Verdy,Japan J1 League,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7009753548,0.7976878613,-9.671250645,0.6904825347,0.6252484886,0.7976878613,0.6042771911,0.6664144594,3,2,70,70,0.04109589041,0.9589041096,0.045,0.6559753548,0.06790074253,0.4512176629,0.5317919075,0.4469931622,0.3790924196,0.3957228089,0.423933109,0.2497576919,0.2658959538,1.615469463,1.305430936,1.136666667,1.274166667
8553053,Urawa Reds vs Tokyo Verdy,Japan J1 League,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5487823371,0.4682080925,8.057424464,0.5530068378,0.6209075804,0.4682080925,0.670793937,0.576066891,3,2,70,70,0.04109589041,0.9589041096,0.045,0.5037823371,0.06790074253,0.4512176629,0.5317919075,0.4469931622,0.3790924196,0.3957228089,0.423933109,0.2497576919,0.2658959538,1.615469463,1.305430936,1.136666667,1.274166667
8553053,Urawa Reds vs Tokyo Verdy,Japan J1 League,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7502423081,0.7341040462,1.613826181,0.7565106275,0.753843931,0.7341040462,0.7249288719,0.7575186495,3,2,70,70,0.04109589041,0.9589041096,0.045,0.7052423081,0.06790074253,0.4512176629,0.5317919075,0.4469931622,0.3790924196,0.3957228089,0.423933109,0.2497576919,0.2658959538,1.615469463,1.305430936,1.136666667,1.274166667
8553168,V-Varen Nagasaki vs Cerezo Osaka,Japan J1 League,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6360790862,0.5235394214,11.25396647,0.6990447369,0.6226874494,0.5235394214,0.8020418406,0.6135491822,4,3,70,70,0.05405405405,0.9459459459,0.045,0.5910790862,0.08125684598,0.3891629983,0.4764605786,0.457484077,0.3773125506,0.5930584914,0.3864508178,0.2469160879,0.2580828134,1.647825342,1.293321918,2.060833333,1.108333333
8553168,V-Varen Nagasaki vs Cerezo Osaka,Japan J1 League,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6108370017,0.7345433919,-12.37063902,0.542515923,0.623772769,0.7345433919,0.4069415086,0.6366098132,4,3,70,70,0.05405405405,0.9459459459,0.045,0.5658370017,0.08125684598,0.3891629983,0.4764605786,0.457484077,0.3773125506,0.5930584914,0.3864508178,0.2469160879,0.2580828134,1.647825342,1.293321918,2.060833333,1.108333333
8553168,V-Varen Nagasaki vs Cerezo Osaka,Japan J1 League,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7530839121,0.7419171866,1.11667255,0.7584393401,0.7535397817,0.7419171866,0.7910166508,0.7498410046,4,3,70,70,0.05405405405,0.9459459459,0.045,0.7080839121,0.08125684598,0.3891629983,0.4764605786,0.457484077,0.3773125506,0.5930584914,0.3864508178,0.2469160879,0.2580828134,1.647825342,1.293321918,2.060833333,1.108333333
